2023-03-16 18:17:55 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-03-16 18:17:56 [main] INFO  x.g.m.d.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-16 18:17:57 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=20205827-f75d-3a11-bdd1-9efd2a9b92e4
2023-03-16 18:17:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-16 18:17:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-16 18:17:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-16 18:17:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-03-16 18:17:57 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-16 18:17:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1232 ms
2023-03-16 18:17:58 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@216c22ce, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62f9c790, org.springframework.security.web.context.SecurityContextHolderFilter@7d37ee0c, org.springframework.security.web.header.HeaderWriterFilter@5cff729b, org.springframework.security.web.csrf.CsrfFilter@4584304, org.springframework.security.web.authentication.logout.LogoutFilter@75e80a97, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73e4387, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@29bbc391, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@21e5f0b6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@66e341e9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4602f874, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6750e381, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@93bf0e0, org.springframework.security.web.access.ExceptionTranslationFilter@28b8f98a, org.springframework.security.web.access.intercept.AuthorizationFilter@7994a0d1]
2023-03-16 18:17:58 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-16 18:17:58 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/actuator/**']
2023-03-16 18:17:58 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-16 18:17:58 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/encrypt/**']
2023-03-16 18:17:58 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Mvc [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-16 18:17:58 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Mvc [pattern='/decrypt/**']
2023-03-16 18:18:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-16 18:18:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-16 18:18:03 [main] INFO  x.g.m.d.config.server.ConfigServer - Started ConfigServer in 8.265 seconds (process running for 9.442)
2023-03-16 18:18:23 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-16 18:18:23 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-16 18:18:23 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-16 18:18:27 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/config-client-elastic_query.yml]' via location 'file:/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/'
2023-03-16 18:18:27 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/config-client.yml]' via location 'file:/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/'
2023-03-16 18:21:25 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/config-client-elastic_query.yml]' via location 'file:/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/'
2023-03-16 18:21:25 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/config-client.yml]' via location 'file:/var/folders/zx/4g777wp55pg8j62jnpqrd9dh0000gn/T/config-repo-12750461531046386453/'
